Date,Time,Open,High,Low,Close,Volume
2015.05.29,00:00,11987,12002,11971,11988,5481
2015.06.01,00:00,11987,12043,11983,12030,5145
2015.06.02,00:00,12031,12036,11900,11917,5837
2015.06.03,00:00,11916,11957,11883,11893,5491
2015.06.04,00:00,11893,11931,11862,11919,5731
2015.06.05,00:00,11921,12024,11915,11992,5513
2015.06.08,00:00,11995,12003,11904,11911,5370
2015.06.09,00:00,11910,11946,11896,11909,5802
2015.06.10,00:00,11909,11930,11829,11836,6523
2015.06.11,00:00,11835,11917,11835,11864,5885
2015.06.12,00:00,11863,11915,11843,11861,5607
2015.06.15,00:00,11866,11889,11839,11843,4819
2015.06.16,00:00,11842,11871,11837,11845,4287
2015.06.17,00:00,11844,11883,11787,11799,4979
2015.06.18,00:00,11800,11811,11732,11770,5281
2015.06.19,00:00,11767,11806,11759,11775,4325
2015.06.22,00:00,11774,11813,11755,11806,4313
2015.06.23,00:00,11806,11883,11802,11858,4634
2015.06.24,00:00,11857,11885,11825,11861,4651
2015.06.25,00:00,11861,11867,11836,11843,4189
2015.06.26,00:00,11841,11890,11841,11873,3956
2015.06.29,00:00,11905,11922,11823,11840,6827
2015.06.30,00:00,11839,11866,11818,11851,5315
2015.07.01,00:00,11852,11917,11849,11910,4655
2015.07.02,00:00,11911,11937,11893,11907,4098
2015.07.03,00:00,11907,11942,11896,11934,3642
2015.07.06,00:00,11955,11965,11921,11938,5296
2015.07.07,00:00,11939,12014,11938,11981,5138
2015.07.08,00:00,11981,12002,11958,11966,5516
2015.07.09,00:00,11966,11994,11944,11973,4990
2015.07.10,00:00,11974,11977,11918,11949,5288
2015.07.13,00:00,11963,12005,11938,12001,4963
2015.07.14,00:00,12003,12018,11945,11964,4455
2015.07.15,00:00,11963,12011,11954,11999,4588
2015.07.16,00:00,11998,12032,11995,12014,4206
2015.07.17,00:00,12015,12038,11998,12030,3591
2015.07.20,00:00,12027,12051,12019,12040,3483
2015.07.21,00:00,12041,12056,11990,12005,4011
2015.07.22,00:00,12006,12030,11985,12009,4387
2015.07.23,00:00,12010,12026,11977,12020,4270
2015.07.24,00:00,12020,12063,12017,12038,4131
2015.07.27,00:00,12038,12041,11984,12006,4341
2015.07.28,00:00,12005,12016,11986,11990,4223
2015.07.29,00:00,11989,12029,11978,12020,4378
2015.07.30,00:00,12020,12057,12016,12034,4080
2015.07.31,00:00,12033,12051,11965,12016,4883
2015.08.03,00:00,12009,12047,12009,12033,4161
2015.08.04,00:00,12033,12045,11987,12031,4400
2015.08.05,00:00,12032,12052,12002,12033,4480
2015.08.06,00:00,12033,12065,12020,12044,4113
2015.08.07,00:00,12045,12071,12013,12017,4166
2015.08.10,00:00,12014,12052,11989,11996,3722
2015.08.11,00:00,11996,12042,11986,12028,5210
2015.08.12,00:00,12027,12058,11947,11969,5748
2015.08.13,00:00,11969,12004,11954,11977,4608
2015.08.14,00:00,11978,11987,11954,11973,4158
2015.08.17,00:00,11968,11998,11968,11993,3595
2015.08.18,00:00,11992,12009,11973,11999,3518
2015.08.19,00:00,11998,12006,11960,11967,4336
2015.08.20,00:00,11968,11997,11937,11941,4577
2015.08.21,00:00,11941,11953,11890,11901,5375
2015.08.24,00:00,11906,11923,11789,11831,8414
2015.08.25,00:00,11830,11905,11830,11877,7539
2015.08.26,00:00,11878,11978,11867,11967,7040
2015.08.27,00:00,11968,12013,11956,11996,5780
2015.08.28,00:00,11995,12038,11975,12015,5115
2015.08.31,00:00,12017,12036,11993,12028,4366
2015.09.01,00:00,12027,12036,11982,12012,5749
2015.09.02,00:00,12012,12047,12009,12037,5217
2015.09.03,00:00,12038,12081,12036,12066,4443
2015.09.04,00:00,12065,12095,12033,12086,4860
2015.09.07,00:00,12074,12092,12061,12066,4005
2015.09.08,00:00,12065,12068,12019,12025,4408
2015.09.09,00:00,12026,12059,12019,12038,4463
2015.09.10,00:00,12036,12055,11989,12000,5682
2015.09.11,00:00,12000,12016,11985,11990,4186
2015.09.14,00:00,11989,11990,11969,11975,3850
2015.09.15,00:00,11974,12015,11964,11999,4237
2015.09.16,00:00,11998,12004,11950,11959,3934
2015.09.17,00:00,11958,11974,11893,11913,4745
2015.09.18,00:00,11912,11953,11865,11945,5267
2015.09.21,00:00,11950,12000,11938,11991,4233
2015.09.22,00:00,11990,12041,11980,12032,4065
2015.09.23,00:00,12030,12075,12029,12062,4625
2015.09.24,00:00,12061,12070,12021,12046,4928
2015.09.25,00:00,12045,12104,12045,12065,5093
2015.09.28,00:00,12067,12087,12049,12061,4600
2015.09.29,00:00,12060,12074,12054,12061,4587
2015.09.30,00:00,12060,12082,12051,12072,4412
2015.10.01,00:00,12072,12081,12042,12065,4236
2015.10.02,00:00,12066,12079,12011,12051,4653
2015.10.05,00:00,12049,12066,12022,12060,4080
2015.10.06,00:00,12059,12068,12003,12008,3883
2015.10.07,00:00,12007,12016,11978,11987,4277
2015.10.08,00:00,11986,12002,11946,11960,4280
2015.10.09,00:00,11960,11964,11927,11937,4161
2015.10.12,00:00,11938,11942,11911,11922,3244
2015.10.13,00:00,11922,11964,11917,11959,4058
2015.10.14,00:00,11959,11970,11867,11877,4446
2015.10.15,00:00,11878,11914,11854,11888,4945
2015.10.16,00:00,11888,11932,11887,11924,4067
2015.10.19,00:00,11921,11934,11905,11929,3748
2015.10.20,00:00,11929,11939,11906,11931,3266
2015.10.21,00:00,11931,11951,11926,11949,3340
2015.10.22,00:00,11949,12011,11935,12007,4172
2015.10.23,00:00,12008,12054,11979,12048,4583
2015.10.26,00:00,12047,12052,12009,12020,3770
2015.10.27,00:00,12019,12041,12004,12032,3706
2015.10.28,00:00,12033,12110,12029,12092,4448
2015.10.29,00:00,12092,12106,12078,12085,4311
2015.10.30,00:00,12084,12086,12024,12040,4900
2015.11.02,00:00,12031,12045,12021,12038,3537
2015.11.03,00:00,12038,12068,12013,12041,3769
2015.11.04,00:00,12041,12093,12037,12082,4138
